    date          smb          hml        mktrf          rf          umd
20141229     0.001600     0.005600     0.001300     0.00000    -0.001900
20141230     0.000500     0.003400    -0.004800     0.00000    -0.000800
20141231     0.004900    -0.003800    -0.009300     0.00000    -0.004800
20150102    -0.005900     0.000900    -0.001100     0.00000    -0.000800
20150105     0.003400    -0.006400    -0.018400     0.00000     0.012000
20150106    -0.007700    -0.002600    -0.010400     0.00000     0.004900
20150107     0.001800    -0.006500     0.011900     0.00000     0.009100
20150108    -0.001100    -0.002800     0.018100     0.00000     0.001300
20150109     0.000200    -0.005000    -0.008500     0.00000     0.001400
20150112     0.003800    -0.003600    -0.007900     0.00000     0.009100
20150113     0.002800     0.000400    -0.001900     0.00000     0.003000
20150114     0.002900    -0.005000    -0.006000     0.00000     0.000700
20150115    -0.009400     0.006400    -0.010800     0.00000     0.007600
20150116     0.004600    -0.001400     0.013600     0.00000    -0.002400
20150120    -0.006500    -0.005400     0.001100     0.00000     0.007300
20150121    -0.009600     0.005500     0.004200     0.00000    -0.010000
20150122     0.004400     0.004000     0.015800     0.00000     0.003300
20150123     0.005100    -0.008300    -0.004700     0.00000     0.001300
20150126     0.005700    -0.000500     0.004200     0.00000    -0.008600
20150127     0.006700     0.002200    -0.012100     0.00000    -0.004400
20150128    -0.000700    -0.007700    -0.013900     0.00000     0.012100
20150129     0.002400     0.000000     0.009800     0.00000     0.006100
20150130    -0.007700     0.000400    -0.013000     0.00000    -0.026400
20150202    -0.004700     0.010000     0.012500     0.00000    -0.008000
20150203     0.001600     0.005000     0.014900     0.00000    -0.012600
20150204    -0.000700    -0.002000    -0.003500     0.00000     0.007700
20150205     0.004700    -0.001600     0.011000     0.00000    -0.007100
20150206     0.000700     0.004000    -0.002000     0.00000    -0.008700
20150209    -0.003900     0.000900    -0.004600     0.00000    -0.006800
20150210    -0.003000    -0.006900     0.010400     0.00000     0.012100
20150211    -0.001000    -0.003200     0.000300     0.00000     0.004700
20150212     0.001700    -0.000800     0.010000     0.00000    -0.004400
20150213     0.001800    -0.002900     0.004700     0.00000    -0.013000
20150217    -0.000200     0.000000     0.001700     0.00000     0.000000
20150218     0.002700    -0.008200     0.000300     0.00000     0.006600
20150219     0.002700    -0.003500    -0.000100     0.00000    -0.005500
20150220    -0.004100    -0.002700     0.006100     0.00000     0.005800
20150223     0.000500    -0.003700    -0.000800     0.00000     0.009500
20150224    -0.000500     0.006900     0.003200     0.00000    -0.000400
20150225     0.002100    -0.005200     0.000200     0.00000    -0.010000
20150226     0.006600    -0.004500    -0.000800     0.00000     0.003300
20150227    -0.002100     0.002100    -0.003600     0.00000    -0.002100
20150302     0.002300    -0.004300     0.006200     0.00000     0.003500
20150303    -0.003000     0.003100    -0.004300     0.00000    -0.003900
20150304     0.000900    -0.004000    -0.004100     0.00000     0.000400
20150305     0.002400    -0.004400     0.001500     0.00000    -0.000100
20150306     0.002700     0.004300    -0.012900     0.00000     0.000200
20150309     0.000900    -0.000200     0.003700     0.00000     0.007600
20150310     0.004300    -0.004600    -0.016300     0.00000     0.004800
20150311     0.005700     0.005300    -0.000400     0.00000    -0.000300
20150312     0.003800     0.004900     0.012800     0.00000     0.006700
20150313     0.002100    -0.000300    -0.005700     0.00000     0.007400
