 DATE      hour minute second       PRICE      SIZE
20100104     9 32 25    57.6500      100
20100104     9 32 25    57.6500      100
20100104     9 32 26    57.6496     1000
20100104     9 32 26    57.7000     1100
20100104     9 32 26    57.6800     1100
20100104     9 32 27    57.6700      100
20100104     9 32 27    57.6600      100
20100104     9 32 28    57.7000      100
20100104     9 32 28    57.7000      100
20100104     9 32 28    57.7000      100
20100104     9 32 28    57.7000      200
20100104     9 32 28    57.6800      300
20100104     9 32 28    57.6800      100
20100104     9 32 28    57.6800      100
20100104     9 32 28    57.6800      100
20100104     9 32 28    57.6700      300
20100104     9 32 28    57.6700      200
20100104     9 32 28    57.6700      100
20100104     9 32 28    57.6700      100
20100104     9 32 28    57.6700      100
20100104     9 32 28    57.6700      100
20100104     9 32 29    57.6800      100
20100104     9 32 29    57.6700      100
20100104     9 32 29    57.7000      100
20100104     9 32 29    57.7000      100
20100104     9 32 29    57.7000      100
20100104     9 32 30    57.6800      100
20100104     9 32 30    57.7000      100
20100104     9 32 30    57.7000     1100
20100104     9 32 31    57.6800      100
20100104     9 32 31    57.6700      100
20100104     9 32 31    57.7000      100
20100104     9 32 33    57.6700      100
20100104     9 32 33    57.6800      100
20100104     9 32 33    57.6500     1600
20100104     9 32 33    57.6500      100
20100104     9 32 33    57.7000      100
20100104     9 32 33    57.6400      100
20100104     9 32 34    57.6410      300
20100104     9 32 34    57.6410      400
20100104     9 32 34    57.6400      300
20100104     9 32 35    57.6400      300
20100104     9 32 35    57.6500      100
20100104     9 32 35    57.6500      100
20100104     9 32 35    57.6400      100
20100104     9 32 35    57.6526      500
20100104     9 32 36    57.6800      500
20100104     9 32 36    57.6700      100
20100104     9 32 36    57.6400      100
20100104     9 32 37    57.6400      200
20100104     9 32 37    57.6500      500
20100104     9 32 37    57.6400      400
20100104     9 32 37    57.6500      600
20100104     9 32 37    57.6400      100
20100104     9 32 37    57.6410      100
20100104     9 32 37    57.6400      300
20100104     9 32 39    57.6800      250
20100104     9 32 40    57.6400      100
20100104     9 32 40    57.6505      500
20100104     9 32 42    57.6800      100
20100104     9 32 48    57.6700      200
20100104     9 32 48    57.6800      100
20100104     9 32 48    57.6800      100
20100104     9 32 49    57.6800      100
20100104     9 32 49    57.6900      100
20100104     9 32 49    57.6700      100
20100104     9 32 51    57.6800      400
20100104     9 32 51    57.6700      100
20100104     9 32 51    57.6800      100
20100104     9 32 55    57.6900      100
20100104     9 32 55    57.6700      100
20100104     9 32 55    57.6900      200
20100104     9 32 56    57.6900      100
20100104     9 32 56    57.6899      100
20100104     9 32 57    57.6800      100
20100104     9 32 58    57.6800      200
20100104     9 32 59    57.6800      100
20100104     9 33 00    57.6800      100
20100104     9 33 00    57.6900      100
20100104     9 33 02    57.6600      100
20100104     9 33 02    57.6600      100
20100104     9 33 02    57.6600      100
20100104     9 33 02    57.6800      200
20100104     9 33 03    57.6600      100
20100104     9 33 03    57.6900      300
20100104     9 33 03    57.6600      300
20100104     9 33 04    57.6600      100
