  PERMNO        date            ko         vwretd
   11308    19981130       0.039223      0.062023
   11308    19981231      -0.043711      0.063051
   11308    19990129      -0.025187      0.038456
   11308    19990226      -0.022010     -0.038085
   11308    19990331      -0.036634      0.037932
   11308    19990430       0.108961      0.049105
   11308    19990528       0.006428     -0.020707
   11308    19990630      -0.092555      0.050821
   11308    19990730      -0.023185     -0.030716
   11308    19990831      -0.012384     -0.009986
   11308    19990930      -0.190637     -0.022845
   11308    19991029       0.222798      0.062146
   11308    19991130       0.141483      0.036823
   11308    19991231      -0.133023      0.083758
   11308    20000131      -0.013948     -0.039612
   11308    20000229      -0.153428      0.031778
   11308    20000331      -0.031208      0.053500
   11308    20000428       0.006658     -0.059527
   11308    20000531       0.129630     -0.038871
   11308    20000630       0.079297      0.051598
   11308    20000731       0.067465     -0.017712
   11308    20000831      -0.141692      0.075007
   11308    20000929       0.050736     -0.051145
   11308    20001031       0.095238     -0.024492
   11308    20001130       0.040083     -0.102371
   11308    20001229      -0.026946      0.020426
   11308    20010131      -0.048205      0.039599
   11308    20010228      -0.085690     -0.099099
   11308    20010330      -0.145012     -0.070390
   11308    20010430       0.022808      0.083831
   11308    20010531       0.026196      0.010458
   11308    20010629      -0.046835     -0.017554
   11308    20010731      -0.008889     -0.018294
   11308    20010831       0.091256     -0.058980
   11308    20010928      -0.033696     -0.091488
   11308    20011031       0.021985      0.027833
   11308    20011130      -0.015455      0.078780
   11308    20011231       0.004046      0.017848
   11308    20020131      -0.072110     -0.015977
   11308    20020228       0.083200     -0.021695
   11308    20020328       0.106985      0.044682
   11308    20020430       0.062189     -0.049617
   11308    20020531       0.000901     -0.010523
   11308    20020628       0.011519     -0.070249
   11308    20020731      -0.108214     -0.081150
   11308    20020830       0.021225      0.007979
   11308    20020930      -0.055686     -0.099920
   11308    20021031      -0.030859      0.074923
   11308    20021129      -0.013769      0.061271
   11308    20021231      -0.039439     -0.053313
   11308    20030131      -0.077099     -0.023392
   11308    20030228      -0.005932     -0.015390
   11308    20030331       0.011934      0.010325
   11308    20030430      -0.001976      0.082762
   11308    20030530       0.127970      0.063471
   11308    20030630       0.023261      0.016336
   11308    20030731      -0.031028      0.023112
   11308    20030829      -0.032244      0.024966
   11308    20030930      -0.007813     -0.009112
   11308    20031031       0.080075      0.060319
   11308    20031128       0.006897      0.016593
   11308    20031231       0.091398      0.045489
   11308    20040130      -0.029754      0.023051
   11308    20040227       0.014622      0.015458
   11308    20040331       0.011809     -0.010674
   11308    20040430       0.005368     -0.024232
   11308    20040528       0.015424      0.014068
   11308    20040630      -0.012074      0.021578
   11308    20040730      -0.131141     -0.037666
   11308    20040831       0.019380      0.002714
   11308    20040930      -0.098636      0.020547
   11308    20041029       0.015231      0.017805
   11308    20041130      -0.027054      0.048207
   11308    20041231       0.059272      0.035177
   11308    20050131      -0.003602     -0.026552
   11308    20050228       0.031574      0.022681
   11308    20050331      -0.019860     -0.016948
   11308    20050429       0.042477     -0.025185
   11308    20050531       0.027394      0.037956
   11308    20050630      -0.058257      0.011533
   11308    20050729       0.048144      0.043325
   11308    20050831       0.005484     -0.005946
   11308    20050930      -0.012045      0.010606
   11308    20051031      -0.009493     -0.020877
   11308    20051130       0.004441      0.040329
   11308    20051230      -0.055751      0.003456
   11308    20060131       0.026544      0.040033
   11308    20060228       0.014258     -0.001640
   11308    20060331       0.005004      0.019053
   11308    20060428       0.002150      0.012965
   11308    20060531       0.049333     -0.031045
   11308    20060630      -0.015898     -0.000386
   11308    20060731       0.034403     -0.001884
   11308    20060831       0.006966      0.025048
   11308    20060929       0.004017      0.019424
   11308    20061031       0.045658      0.037134
   11308    20061130       0.008990      0.023705
   11308    20061229       0.030322      0.010854
   11308    20070131      -0.007668      0.019404
   11308    20070228      -0.025063     -0.013994
   11308    20070330       0.035561      0.012946
   11308    20070430       0.087292      0.039821
   11308    20070531       0.015329      0.038932
   11308    20070629      -0.006416     -0.014754
   11308    20070731      -0.003823     -0.031758
   11308    20070831       0.032048      0.011631
   11308    20070928       0.074935      0.040849
   11308    20071031       0.074648      0.025833
   11308    20071130       0.011010     -0.049327
   11308    20071231      -0.011755     -0.004428
   11308    20080131      -0.038618     -0.062147
   11308    20080229      -0.009153     -0.021664
   11308    20080331       0.047725     -0.010420
   11308    20080430      -0.032857      0.051106
   11308    20080530      -0.027348      0.023841
   11308    20080630      -0.085575     -0.078433
   11308    20080731      -0.009234     -0.013328
   11308    20080829       0.011068      0.010563
   11308    20080930       0.022854     -0.098007
   11308    20081031      -0.166793     -0.184621
   11308    20081128       0.072401     -0.084615
   11308    20081231      -0.034137      0.022148
   11308    20090130      -0.056329     -0.077324
   11308    20090227      -0.043773     -0.100212
   11308    20090331       0.085924      0.086690
   11308    20090430      -0.020478      0.109359
   11308    20090529       0.141928      0.067788
   11308    20090630      -0.015460     -0.003098
   11308    20090731       0.038550      0.081719
   11308    20090831      -0.021469      0.031459
   11308    20090930       0.109494      0.045222
   11308    20091030      -0.007263     -0.027993
   11308    20091130       0.080660      0.057098
   11308    20091231      -0.003497      0.028419
   11308    20100129      -0.048246     -0.037096
   11308    20100226      -0.028203      0.034775
   11308    20100331       0.051593      0.063606
   11308    20100430      -0.028182      0.020043
   11308    20100528      -0.038354     -0.079137
   11308    20100630      -0.016342     -0.050717
   11308    20100730       0.099561      0.070293
   11308    20100831       0.014017     -0.042813
   11308    20100930       0.055071      0.091517
   11308    20101029       0.047847      0.038531
   11308    20101130       0.037345      0.005107
   11308    20101231       0.041159      0.067150
   11308    20110131      -0.044397      0.019156
   11308    20110228       0.017025      0.038165
   11308    20110331       0.045213      0.003366
   11308    20110429       0.016883      0.028688
   11308    20110531      -0.009635     -0.014935
   11308    20110630       0.014219     -0.018395
   11308    20110729       0.010700     -0.022470
   11308    20110831       0.035877     -0.057472
   11308    20110930      -0.034351     -0.084872
   11308    20111031       0.011249      0.113982
   11308    20111130      -0.009075     -0.006227
   11308    20111230       0.040756      0.003703
   11308    20120131      -0.034872      0.054077
   11308    20120229       0.034503      0.041185
   11308    20120330       0.066705      0.023994
   11308    20120430       0.031212     -0.006801
   11308    20120531      -0.020833     -0.065530
   11308    20120629       0.053125      0.038156
   11308    20120731       0.033380      0.010266
   11308    20120831      -0.074257      0.026265
   11308    20120928       0.020989      0.026539
   11308    20121031      -0.019773     -0.014101
   11308    20121130       0.026762      0.006192
   11308    20121231      -0.044040      0.012531
   11308    20130131       0.027310      0.054094
   11308    20130228       0.039742      0.008332
   11308    20130328       0.051653      0.035274
   11308    20130430       0.046736      0.014946
