category change duration size
4 0 0 1
4 0 8.000001e-05 1.5
4 0 2e-05 1
4 0 0 1
6 0.01 0.0093 1
4 0 6e-05 1
3 -0.0028 0.30085 2.12
3 -0.0072 0.01044 1
7 0.0256 3.20942 0.95
1 -0.0255 3.032096 0.36
6 0.0199 0.0220268 1
3 -0.01 0.0052969 1
4 0 0.003278 1
5 0.0028 1.265656 0.95
3 -0.0098 0.613464 1
6 0.012 0.01702 1
6 0.015 0.473017 1
2 -0.01 0.000648 1
4 0 0.001591 1
4 0 0.057503 1
3 -0.01 1.062769 1
4 0 1.977473 1
5 0.01 2.6e-05 2
4 0 1.378692 0.91
3 -0.01 0.092672 1
4 0 0.000883 1
5 0.005 1.421312 0.46
5 0.005 0.685864 0.09
4 0 5.999995e-06 1
4 0 6.000002e-06 1.09
4 0 1.2e-05 1
4 0 1.4e-05 1
4 0 0.000308 0.91
4 0 1.7e-05 1
4 0 7.999995e-06 1
5 0.0064 0.42766 1.15
5 0.0036 0.368331 1
2 -0.01 0.00196 1
4 0 0.11737 1
4 0 1.38485 3
4 0 0 1
7 0.02 0 1
4 0 1e-05 1
4 0 0 1
4 0 9.999996e-06 3
1 -0.02 0.00038 1
4 0 0.00037 1
4 0 0.00012 2
5 0.005 0.00125 1
3 -0.005 0.0033 1
6 0.01 0.07431 7
4 0 0.77783 1
2 -0.015 0.00167 5
5 0.005 0.12543 1
3 -0.01 0.5912 1
4 0 0.00094 1
2 -0.01 0.0106 1
4 0 0 1
4 0 9.999996e-06 1
4 0 0 1
4 0 1e-05 1
4 0 0 1
4 0 0 1
4 0 2e-05 1
4 0 0.00016 2
4 0 1e-05 1
2 -0.01 0.00066 1
4 0 1e-05 0.09
6 0.01 9.999996e-06 1
2 -0.01 0.00039 0.91
4 0 0 2
4 0 0 1
4 0 5e-05 2
4 0 0.00011 1
4 0 0.00057 1
3 -0.01 0.00105 1
4 0 0.00038 1
4 0 0.00073 2
3 -0.005 0.01005 5
7 0.025 0.10969 2
1 -0.03 0.27338 1
4 0 1.82203 1
4 0 5e-05 1.74
4 0 2e-05 2
4 0 2e-05 0.26
4 0 9.999996e-06 1
7 0.026 2.04281 6
6 0.017 1.76057 3
5 0.01 26.37897 1
5 0.0014 4.61609 0.05
6 0.0106 17.78961 1
4 0 5.000002e-06 1.2
4 0 0.000299 1
3 -0.005 0.000735 1
6 0.02 1e-06 1
4 0 3.3e-05 1
2 -0.015 0.015706 2
4 0 0.00017 1
4 0 0.021285 1
5 0.0075 0.081317 1
3 -0.0075 0.000914 1
4 0 7.3e-05 1
6 0.015 0.000536 1
4 0 0 1
2 -0.015 0.001201 1
5 0.0075 0.117011 1
3 -0.0046 0.082477 4
3 -0.0079 0.558708 1
2 -0.01 4.7e-05 1
4 0 5.000002e-06 2
4 0 4.000001e-06 1
4 0 2.699999e-05 1
4 0 4.000001e-05 1
4 0 8.1e-05 1
4 0 0.000212 1
6 0.01 0.000193 1
2 -0.01 0 1
4 0 0.000361 1
3 -0.01 0.00129 1
5 0.01 0.00255 1
4 0 0.013567 1
6 0.01 0.017523 1
2 -0.01 0.086512 1
5 0.005 0.037661 1
3 -0.005 0.003859 1
4 0 0.383377 1
3 -0.0012 0.289487 2.85
3 -0.0088 0.414067 1
4 0 0.00836 1
5 0.01 0.01718 1
4 0 0.00435 1
4 0 0.22132 1
4 0 0.00035 2
